site_index,English_Quote,Persian_Quote,Prise_Writer
912,The book's broad humor demonstrates resiliency in the face of tragedy.,شوخ طبعی گسترده ی کتاب، نشان دهنده ی انعطاف پذیری در مواجهه با سختی ها است.,Publisher's Weekly
95951,Short and spare yet also luminous and profound,کوتاه و کم و در عین حال درخشان و عمیق,Malcolm Forbes
95951,"Harsh but often ravishingly beautiful . . . Slender, restrained.",خشن اما اغلب بسیار زیبا. . . ظریف، خوددار.,Lidija Haas
3321,"Erich Fromm sums up a lifetime of rich experience as a social critic, and a psychoanalyst.",اریک فروم، حاصل یک عمر تجارب غنی خود به عنوان یک منتقد اجتماعی و روانکاو را خلاصه کرده است.,PaperBack Swap
3321,A good present for someone who feels out of place.,هدیه ای خوب برای هر کسی که با احساس تشویش و ناراحتی رو به رو است.,Kirkus Reviews
3321,"Meditations on his life-long themes: love, freedom, good and evil, aggression, Freud and psychoanalysis.",تأملاتی بر تم های همیشگی او: عشق، آزادی، خیر و شر، پرخاشگری، فروید و روانکاوی.,Library Journal
1498,It will delight Verne enthusiasts.,این اثر، برای علاقه مندان به ورن بسیار لذت بخش خواهد بود.,Publishers Weekly
1498,A breathtaking story.,داستانی نفسگیر.,Huffington Post
12904,"""An uproariously funny read. The swift pace of the tale and non-stop action . . . will enchant readers from the first page."" -- Kirkus Reviews","""یک خواندن بسیار خنده دار. سرعت سریع داستان و اقدام بدون وقفه ... خوانندگان را از صفحه اول مسحور می کند.""",Kirkus Reviews
12904,Hilarious . . . with unexpected plot twists and plenty of girl power.,خنده دار . . با پیچ و تابهای غیر منتظره طرح و قدرت زیاد نویسنده در نگارش,Booklist
12904,"Giddy, fizzy, hilarious fun",سرگرم کننده گیج کننده ، نیش دار و خنده دار,Luv Ya Bunches
3823,An undoubted pleasure to read.,بدون تردید لذت بخش.,The New York Review of Books
3823,"Haunting, thought-provoking, emotional, and compellingly readable.",به یاد ماندنی، تفکربرانگیز، عاطفی و بسیار خواندنی.,The Philadelphia Inquirer
3823,Provoking and entertaining.,برانگیزاننده و سرگرم کننده.,The Seattle Times
40,"One of McCarthy's best novels, probably his most moving and perhaps his most personal.",یکی از بهترین رمان های مک کارتی، احتمالا تأثیرگذار ترین و شخصی ترین اثر او.,Los Angeles Times
40,"Vivid, eloquent . . . The Road is the most readable of [McCarthy's] works.",سرزنده و شیوا... جاده، خواندنی ترین اثر مک کارتی است.,New York Times Book Review
40,"McCarthy is a gutsy, powerful storyteller. . . . The writing throughout is magnificent.",مک کارتی داستان سرایی شجاع و قدرتمند است.... در مجموع، این اثر عالی و شکوهمند است.,Chicago Sun-Times
82963,"Brutal, intensely suspenseful, an exhilarating affirmation of the human spirit.",بی رحمانه، فوق العاده پرتعلیق، گواهی هیجان انگیز بر قدرت روح انسان.,Publishers Weekly
82963,A frightening suspense novel about a young girl who becomes lost in the woods.,یک رمان پرتعلیق ترسناک درباره دختری کم سن و سال که در جنگل گم می شود.,Amazon
82963,"A wonderful story of courage, faith, and hope.",داستانی شگفت انگیز درباره شجاعت، ایمان، و امید.,Wall Street Journal
944,The Raven is one of the most famous poems in the English language.,کلاغ، یکی از مشهورترین اشعار در زبان انگلیسی است.,Goodreads
944,"Poe's enduring reflections on nature, magic and the dream world.",برداشت های جاودان پو از طبیعت، جادو و دنیای رویاها.,Barnes & Noble
944,These poems reveal the extraordinary  spectrum of Poe's personality.,این اشعار از گستره ی خارق العاده ی شخصیت پو، پرده برمی دارند.,Amazon
1103,An unforgettable psycho-philosophical novel.,یک رمان فلسفی و روانشناسانه ی فراموش نشدنی.,Barnes & Noble
1103,I enthusiastically recommend The Spinoza Problem.,من با شور و اشتیاق، کتاب مسئله اسپینوزا را توصیه می کنم.,Sir Anthony Hopkins
1103,An accessible introduction to Spinoza's complex philosophy.,مقدمه ای قابل فهم بر فلسفه ی پیچیده ی اسپینوزا.,Washington Post
25940,It will satisfy the most experienced thriller fans.,این اثر، باتجربه ترین طرفدران داستان های تریلر را راضی خواهد کرد.,Daily Mail
25940,"Dark, but utterly compelling.",تاریک، اما فوق العاده هیجان انگیز.,"Ruth Jones, bestselling author"
25940,Twisty and gripping.,پر پیچ و خم، و گیرا.,"Jane Fallon, bestselling author"
12510,A thrilling mystery aboard a luxurious but deadly cruise.,یک داستان معمایی هیجان انگیز در یک کشتی تفریحی لوکس اما مرگبار.,Barnes & Noble
12510,"Never, in all her long career as a #1 bestselling suspense novelist, has Mary Higgins Clark been in better form.",مری هیگینز کلارک هیچ وقت در طول دوران حرفه ای بلندمدت خود به عنوان پرفروش ترین نویسنده ی رمان های پرتعلیق، در فرم بهتری نبوده است.,Amazon
12510,One of those books that you just can't put down.,یکی از آن کتاب هایی که نمی توانید کنار بگذارید.,Fresh Fiction
312,With considerable suspense.,با تعلیقی پر مایه.,Guardian
312,Well-written and ingeniously constructed.,با نگارشی عالی و ساختاری مبتکرانه.,Washington Post
312,An absorbing read.,داستانی بسیار جذاب.,Boston Globe
50393,A fun read that is sure to be popular among fans of Kessler's other works.,داستانی سرگرم کننده که بدون تردید در میان طرفداران سایر آثار «کسلر»، محبوب خواهد بود.,School Library Journal
50393,Anyone who ever dreamed of being more than ordinary will love this story.,هر کسی که تا به حال آرزو داشته چیزی بیش از معمولی باشد، عاشق این داستان خواهد شد.,Discovery Girls
50393,A magical tale of a (sometimes invisible) teen—and her truly super friends.,داستانی جادویی درباره یک نوجوان (گهگاه نامرئی)-و دوستان واقعا خارق العاده او.,Penguin Random House
1229,Full of humanity.,سرشار از انسانیت.,Goodreads
1229,Surprising and funny.,غافلگیرکننده و بامزه.,Amazon
1229,Unforgettable!,فراموش نشدنی!,Critiques Libres
1714,Fast paced and entertaining as ever.,سریع و سرگرم کننده مانند همیشه.,The Guardian
